2025-01-23 17:15:54 [main] INFO  com.frizo.daphnis.Main - Scheduler started. Press Ctrl+C to stop.
2025-01-23 17:15:54 [DefaultQuartzScheduler_Worker-1] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:15:55 [DefaultQuartzScheduler_Worker-2] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:15:56 [DefaultQuartzScheduler_Worker-3] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:15:57 [DefaultQuartzScheduler_Worker-4] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:15:58 [DefaultQuartzScheduler_Worker-5] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:15:59 [DefaultQuartzScheduler_Worker-6] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:00 [DefaultQuartzScheduler_Worker-7] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:01 [DefaultQuartzScheduler_Worker-8] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:02 [DefaultQuartzScheduler_Worker-9] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:03 [DefaultQuartzScheduler_Worker-10] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:04 [DefaultQuartzScheduler_Worker-1] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:05 [DefaultQuartzScheduler_Worker-2] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:06 [DefaultQuartzScheduler_Worker-3] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:07 [DefaultQuartzScheduler_Worker-4] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:08 [DefaultQuartzScheduler_Worker-5] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:09 [DefaultQuartzScheduler_Worker-6] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:10 [DefaultQuartzScheduler_Worker-7] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:11 [DefaultQuartzScheduler_Worker-8] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:12 [DefaultQuartzScheduler_Worker-9] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:13 [DefaultQuartzScheduler_Worker-10] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:14 [DefaultQuartzScheduler_Worker-1] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:15 [DefaultQuartzScheduler_Worker-2] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:16 [DefaultQuartzScheduler_Worker-3] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:17 [DefaultQuartzScheduler_Worker-4] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:18 [DefaultQuartzScheduler_Worker-5] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:19 [DefaultQuartzScheduler_Worker-6] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:20 [DefaultQuartzScheduler_Worker-7] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:21 [DefaultQuartzScheduler_Worker-8] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:22 [DefaultQuartzScheduler_Worker-9] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:23 [DefaultQuartzScheduler_Worker-10] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:24 [DefaultQuartzScheduler_Worker-1] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:25 [DefaultQuartzScheduler_Worker-2] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:26 [DefaultQuartzScheduler_Worker-3] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:27 [DefaultQuartzScheduler_Worker-4] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:28 [DefaultQuartzScheduler_Worker-5] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:29 [DefaultQuartzScheduler_Worker-6] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:30 [DefaultQuartzScheduler_Worker-7] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:31 [DefaultQuartzScheduler_Worker-8] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:32 [DefaultQuartzScheduler_Worker-9] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:33 [DefaultQuartzScheduler_Worker-10] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:34 [DefaultQuartzScheduler_Worker-1] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:35 [DefaultQuartzScheduler_Worker-2] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:36 [DefaultQuartzScheduler_Worker-3] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:37 [DefaultQuartzScheduler_Worker-4] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:38 [DefaultQuartzScheduler_Worker-5] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:39 [DefaultQuartzScheduler_Worker-6] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:16:40 [DefaultQuartzScheduler_Worker-7] INFO  com.frizo.daphnis.MyJob - Hello, World!
